date,crop_name,harvest_area_ha,plant_area_ha,production_mass_t,yield_t_ha
2004-01-01,barley,317834.0,318038.0,774695.0,2.44
2005-01-01,barley,324716.0,325034.0,731333.0,2.25
2006-01-01,barley,330938.2,333366.2,948673.0,2.87
2007-01-01,barley,274368.8,299969.6,525787.0,1.92
2008-01-01,barley,244395.1,260247.9,469830.0,1.92
2009-01-01,barley,265279.4,265279.4,723762.0,2.73
2010-01-01,barley,253184.6,253984.6,554870.0,2.19
2011-01-01,barley,218093.8,224693.9,777542.0,3.5700000000000003
2012-01-01,barley,243885.6,243923.0,613489.0,2.52
2013-01-01,barley,230600.9,230600.9,761080.0,3.3000000000000003
2014-01-01,barley,232276.1,240377.7,650101.0,2.8000000000000003
2015-01-01,barley,241645.4,241645.4,853627.0,3.5300000000000002
2016-01-01,barley,271421.8,276641.8,734012.0,2.7
2017-01-01,barley,242241.6,242241.6,795535.0,3.2800000000000002
2018-01-01,barley,272564.0,274480.6,856917.0,3.14
2019-01-01,barley,305319.8,305319.8,1006617.0,3.3000000000000003
2020-01-01,barley,315443.8,315443.8,1027276.0,3.2600000000000002
2021-01-01,barley,328533.6,334017.0,768266.0,2.34
2022-01-01,barley,333107.8,336040.7,1055270.0,3.17
2023-01-01,barley,330263.1,331163.1,1150516.0,3.48
2024-01-01,barley,297563.3,343136.2,852876.0,2.87
2004-01-01,maize,11490.0,11490.0,76547.0,6.66
2005-01-01,maize,10292.0,10292.0,78199.0,7.6000000000000005
2006-01-01,maize,7918.0,7918.0,51577.0,6.51
2007-01-01,maize,9158.3,9158.3,57902.0,6.32
2008-01-01,maize,12607.7,12607.7,80307.0,6.37
2009-01-01,maize,13137.8,13137.8,104129.0,7.930000000000001
2010-01-01,maize,15481.7,15481.7,103430.0,6.68
2011-01-01,maize,23097.1,23097.4,159858.0,6.92
2012-01-01,maize,38253.9,38253.9,312059.0,8.16
2013-01-01,maize,34131.0,34131.0,353552.0,10.36
2014-01-01,maize,37218.5,38100.2,382099.0,10.27
2015-01-01,maize,54886.1,54886.1,558190.0,10.17
2016-01-01,maize,63498.1,63526.9,638300.0,10.05
2017-01-01,maize,63797.2,63797.2,621884.0,9.75
2018-01-01,maize,107462.6,107462.6,1104538.0,10.28
2019-01-01,maize,124535.3,124535.3,1345064.0,10.8
2020-01-01,maize,103399.8,103399.8,1070626.0,10.35
2021-01-01,maize,124182.1,124182.1,1261475.0,10.16
2022-01-01,maize,186212.5,186212.5,2044202.0,10.98
2023-01-01,maize,185505.4,185505.4,2043903.0,11.02
2024-01-01,maize,158993.9,158993.9,2011729.0,12.65
2004-01-01,wheat,454148.0,454168.0,875030.0,1.93
2005-01-01,wheat,476813.0,477027.0,823524.0,1.73
2006-01-01,wheat,443253.7,446915.1,1101390.0,2.48
2007-01-01,wheat,487413.2,535391.2,775363.0,1.59
2008-01-01,wheat,484311.2,512657.8,777161.0,1.6
2009-01-01,wheat,463017.1,463017.1,1201619.0,2.6
2010-01-01,wheat,472614.5,474465.1,1027260.0,2.17
2011-01-01,wheat,523939.5,524263.3,1753190.0,3.35
2012-01-01,wheat,454282.9,454282.9,1167607.0,2.57
2013-01-01,wheat,521413.0,525578.1,1690239.0,3.24
2014-01-01,wheat,513696.8,522696.6,1351959.0,2.63
2015-01-01,wheat,485947.5,486338.2,1696326.0,3.49
2016-01-01,wheat,490473.2,497973.2,1278320.0,2.61
2017-01-01,wheat,499830.6,499929.8,1419442.0,2.84
2018-01-01,wheat,454097.5,456233.7,1363378.0,3.0
2019-01-01,wheat,411176.1,411176.1,1271728.0,3.09
2020-01-01,wheat,423402.4,423402.4,1301497.0,3.0700000000000003
2021-01-01,wheat,397370.5,402132.4,1098193.0,2.7600000000000002
2022-01-01,wheat,391929.3,395139.4,1313200.0,3.35
2023-01-01,wheat,403331.2,403831.2,1556550.0,3.86
2024-01-01,wheat,401353.1,450548.5,1294736.0,3.23
