|||Sütunlar||||||||||||
Satırlar|||Türkiye-TR||||||||||||
|||01-Ocak|02-Şubat|03-Mart|04-Nisan|05-Mayıs|06-Haziran|07-Temmuz|08-Ağustos|09-Eylül|10-Ekim|11-Kasım|12-Aralık|
|||||||||||||||
Tarım Ürünleri Üretici Fiyat Endeksi (2020=100)|01.11.1. (Buğday)|2020|85.81|86.41|87.23|87.84|98.41|100.57|104.1|105.9|106.99|110.1|113.35|113.28|
||2021|113.76|114.97|114.79|114.12|119.03|142.94|149.96|149.89|153.04|159.48|175.67|198.02|
||2022|196.74|256.88|272.1|286.84|296.0|401.0|430.17|428.16|415.73|418.54|419.2|414.81|
||2023|416.43|416.7|412.89|412.33|428.56|469.32|487.67|493.39|489.22|485.04|497.22|511.5|
||2024|515.64|534.66|542.23|556.46|565.79|571.81|567.93|569.04|589.5|610.76|630.06|633.96|
||2025|660.68|680.71|694.53|715.36|714.58|784.79|818.78|813.09|829.87|845.71|||
|01.11.2. (Mısır)|2020|87.54|89.32|91.93|93.88|96.12|94.62|95.9|102.18|103.02|109.93|119.08|116.47|
||2021|121.48|122.15|118.37|135.89|157.83|166.13|174.07|177.1|186.69|197.99|217.6|247.15|
||2022|249.26|277.38|322.66|351.59|415.15|467.89|447.13|436.49|426.78|413.5|401.31|398.29|
||2023|407.5|423.52|427.45|420.77|448.79|447.22|428.83|455.67|456.43|453.15|454.14|464.98|
||2024|478.1|500.16|523.74|569.56|588.28|617.25|620.39|630.43|664.66|679.78|666.03|661.61|
||2025|684.32|710.92|750.52|799.18|804.92|844.75|847.69|867.41|887.04|883.14|||
|01.11.31. (Arpa)|2020|94.11|94.75|99.12|98.8|97.24|98.16|99.72|97.66|98.28|104.77|107.33|110.06|
||2021|119.5|122.08|122.86|127.86|141.24|173.52|182.77|186.69|187.75|189.43|208.7|245.81|
||2022|256.45|263.43|295.4|341.61|396.79|450.25|459.94|479.11|457.12|462.83|461.95|460.89|
||2023|459.81|460.71|460.09|460.64|469.54|493.89|516.11|526.51|516.52|504.68|510.77|532.47|
||2024|543.82|556.88|569.36|583.88|593.74|560.04|565.86|564.71|582.31|590.44|613.47|619.69|
||2025|636.29|659.93|698.75|746.81|764.68|849.04|860.22|866.56|884.55|894.34|||
|||||||||||||||
